,AAPL,MSFT,GOOG,META
2000-01-03,0.9994419813156128,58.28125,,
2000-01-04,0.9151790142059326,56.3125,,
2000-01-05,0.9285709857940674,56.90625,,
2000-01-06,0.8482139706611633,55.0,,
2000-01-07,0.888392984867096,55.71875,,
2000-01-10,0.872767984867096,56.125,,
2000-01-11,0.828125,54.6875,,
2000-01-12,0.7784600257873535,52.90625,,
2000-01-13,0.8638389706611633,53.90625,,
2000-01-14,0.896763026714325,56.125,,
2000-01-17,0.896763026714325,56.125,,
2000-01-18,0.928013026714325,57.65625,,
2000-01-19,0.9514510035514832,53.5,,
2000-01-20,1.0133930444717407,53.0,,
2000-01-21,0.993861973285675,51.875,,
2000-01-24,0.9486610293388367,50.625,,
2000-01-25,1.0022319555282593,51.40625,,
2000-01-26,0.9838169813156128,49.6875,,
2000-01-27,0.982142984867096,49.375,,
2000-01-28,0.9073659777641296,49.125,,
2000-01-31,0.9263389706611633,48.9375,,
2000-02-01,0.8950889706611633,51.46875,,
2000-02-02,0.8822540044784546,50.40625,,
2000-02-03,0.9224330186843872,51.8125,,
2000-02-04,0.9642860293388367,53.28125,,
2000-02-07,1.0184149742126465,53.3125,,
2000-02-08,1.025670051574707,54.96875,,
2000-02-09,1.005579948425293,52.0,,
2000-02-10,1.0133930444717407,53.0,,
2000-02-11,0.970982015132904,49.96875,,
2000-02-14,1.0340399742126465,49.8125,,
2000-02-15,1.0625,49.28125,,
2000-02-16,1.0189729928970337,48.8125,,
2000-02-17,1.025670051574707,49.8125,,
2000-02-18,0.9933040142059326,47.53125,,
2000-02-21,0.9933040142059326,47.53125,,
2000-02-22,1.0161830186843872,46.90625,,
2000-02-23,1.0379459857940674,47.125,,
2000-02-24,1.0285990238189697,47.375,,
2000-02-25,0.9854909777641296,45.65625,,
2000-02-28,1.011160969734192,45.78125,,
2000-02-29,1.0234379768371582,44.6875,,
2000-03-01,1.1635040044784546,45.40625,,
2000-03-02,1.089285969734192,46.6875,,
2000-03-03,1.1428569555282593,48.0625,,
2000-03-06,1.1222100257873535,45.3125,,
2000-03-07,1.0970979928970337,46.4375,,
2000-03-08,1.089285969734192,47.78125,,
2000-03-09,1.0915180444717407,50.0,,
2000-03-10,1.1227680444717407,50.5,,
2000-03-13,1.0831470489501953,49.0,,
2000-03-14,1.020089030265808,47.5625,,
2000-03-15,1.0379459857940674,47.6875,,
2000-03-16,1.0853790044784546,47.6875,,
2000-03-17,1.1160709857940674,49.6875,,
2000-03-20,1.098214030265808,48.6875,,
2000-03-21,1.2047990560531616,51.375,,
2000-03-22,1.2873879671096802,51.625,,
2000-03-23,1.261718988418579,55.9375,,
2000-03-24,1.238281011581421,55.84375,,
2000-03-27,1.246093988418579,52.03125,,
2000-03-28,1.2421879768371582,52.15625,,
2000-03-29,1.2137279510498047,53.59375,,
2000-03-30,1.1227680444717407,51.6875,,
2000-03-31,1.2126120328903198,53.125,,
2000-04-03,1.1902899742126465,45.4375,,
2000-04-04,1.136718988418579,44.28125,,
2000-04-05,1.1640629768371582,43.1875,,
2000-04-06,1.1177459955215454,43.0,,
2000-04-07,1.176339030265808,44.53125,,
2000-04-10,1.1160709857940674,43.03125,,
2000-04-11,1.066406011581421,41.9375,,
2000-04-12,0.9754459857940674,39.6875,,
2000-04-13,1.0161830186843872,39.625,,
2000-04-14,0.9988840222358704,37.0625,,
2000-04-17,1.1060270071029663,37.9375,,
2000-04-18,1.1328129768371582,40.28125,,
2000-04-19,1.0814729928970337,39.34375,,
2000-04-20,1.0613839626312256,39.46875,,
2000-04-21,1.0613839626312256,39.46875,,
2000-04-24,1.0758930444717407,33.3125,,
2000-04-25,1.1456470489501953,34.6875,,
2000-04-26,1.0831470489501953,34.0,,
2000-04-27,1.1316959857940674,34.90625,,
2000-04-28,1.1077009439468384,34.875,,
2000-05-01,1.1099330186843872,36.71875,,
2000-05-02,1.052454948425293,34.9375,,
2000-05-03,1.027343988418579,35.28125,,
2000-05-04,0.9882810115814209,35.21875,,
2000-05-05,1.010045051574707,35.5625,,
2000-05-08,0.9832590222358704,34.90625,,
2000-05-09,0.9414060115814209,33.90625,,
2000-05-10,0.8867189884185791,33.09375,,
2000-05-11,0.9179689884185791,33.9375,,
2000-05-12,0.9609379768371582,34.40625,,
2000-05-15,0.9017860293388367,34.6875,,
2000-05-16,0.943638026714325,34.75,,
2000-05-17,0.9051340222358704,33.84375,,
2000-05-18,0.8995540142059326,33.09375,,
2000-05-19,0.8392860293388367,32.53125,,
2000-05-22,0.803013026714325,32.09375,,
2000-05-23,0.7661830186843872,31.59375,,
2000-05-24,0.7829239964485168,32.78125,,
2000-05-25,0.7791569828987122,30.75,,
2000-05-26,0.7712050080299377,30.71875,,
2000-05-29,0.7712050080299377,30.71875,,
2000-05-30,0.7818080186843872,31.6875,,
2000-05-31,0.75,31.28125,,
2000-06-01,0.7957590222358704,32.28125,,
2000-06-02,0.8264510035514832,33.15625,,
2000-06-05,0.8152899742126465,33.4375,,
2000-06-06,0.8292409777641296,34.8125,,
2000-06-07,0.8621649742126465,35.25,,
2000-06-08,0.8465399742126465,34.40625,,
2000-06-09,0.8549110293388367,34.40625,,
2000-06-12,0.8141739964485168,33.4375,,
2000-06-13,0.84375,33.9375,,
2000-06-14,0.8074780106544495,35.25,,
2000-06-15,0.8247770071029663,36.1875,,
2000-06-16,0.8141739964485168,36.28125,,
2000-06-19,0.8627229928970337,36.84375,,
2000-06-20,0.904017984867096,37.46875,,
2000-06-21,0.9933040142059326,40.34375,,
2000-06-22,0.9598209857940674,39.9375,,
2000-06-23,0.9229909777641296,38.84375,,
2000-06-26,0.966517984867096,39.75,,
2000-06-27,0.924107015132904,39.40625,,
2000-06-28,0.9720979928970337,39.46875,,
2000-06-29,0.9151790142059326,38.59375,,
2000-06-30,0.935267984867096,40.0,,
2000-07-03,0.9520090222358704,40.0,,
2000-07-04,0.9520090222358704,40.0,,
2000-07-05,0.921875,39.25,,
2000-07-06,0.9252229928970337,40.46875,,
2000-07-07,0.9720979928970337,41.0,,
2000-07-10,1.020089030265808,39.71875,,
2000-07-11,1.0167410373687744,39.5625,,
2000-07-12,1.051339030265808,40.15625,,
2000-07-13,1.0089290142059326,39.96875,,
2000-07-14,1.0301339626312256,39.46875,,
2000-07-17,1.041295051574707,39.09375,,
2000-07-18,1.0223209857940674,39.25,,
2000-07-19,0.9408479928970337,36.5625,,
2000-07-20,0.984375,37.40625,,
2000-07-21,0.9564729928970337,36.15625,,
2000-07-24,0.8694199919700623,35.28125,,
2000-07-25,0.8939729928970337,34.5,,
2000-07-26,0.8939729928970337,33.90625,,
2000-07-27,0.9285709857940674,34.6875,,
2000-07-28,0.8627229928970337,34.84375,,
2000-07-31,0.9073659777641296,34.90625,,
2000-08-01,0.8805800080299377,34.34375,,
2000-08-02,0.84375,34.6875,,
2000-08-03,0.857142984867096,35.125,,
2000-08-04,0.845982015132904,34.5625,,
2000-08-07,0.8560270071029663,35.0,,
2000-08-08,0.8348209857940674,37.0625,,
2000-08-09,0.8482139706611633,37.125,,
2000-08-10,0.8493300080299377,36.3125,,
2000-08-11,0.8515629768371582,36.21875,,
2000-08-14,0.8404020071029663,36.09375,,
2000-08-15,0.8337050080299377,35.8125,,
2000-08-16,0.8660709857940674,35.5,,
