,AAPL,MSFT,GOOG,META
2000-01-03,535796800.0,53228400.0,,
2000-01-04,512377600.0,54119000.0,,
2000-01-05,778321600.0,64059600.0,,
2000-01-06,767972800.0,54976600.0,,
2000-01-07,460734400.0,62013600.0,,
2000-01-10,505064000.0,44963600.0,,
2000-01-11,441548800.0,46743600.0,,
2000-01-12,976068800.0,66532400.0,,
2000-01-13,1032684800.0,83144000.0,,
2000-01-14,390376000.0,73416400.0,,
2000-01-17,390376000.0,73416400.0,,
2000-01-18,459177600.0,81483600.0,,
2000-01-19,597643200.0,97568200.0,,
2000-01-20,1831132800.0,56349800.0,,
2000-01-21,495924800.0,68416200.0,,
2000-01-24,440876800.0,63597600.0,,
2000-01-25,497145600.0,59823200.0,,
2000-01-26,367158400.0,49365000.0,,
2000-01-27,340144000.0,63654800.0,,
2000-01-28,423348800.0,58225400.0,,
2000-01-31,701680000.0,73194200.0,,
2000-02-01,318035200.0,70196600.0,,
2000-02-02,464195200.0,49915600.0,,
2000-02-03,475193600.0,49186000.0,,
2000-02-04,425320000.0,55365400.0,,
2000-02-07,441067200.0,40005800.0,,
2000-02-08,408643200.0,56229000.0,,
2000-02-09,299364800.0,55090000.0,,
2000-02-10,302982400.0,54527800.0,,
2000-02-11,212251200.0,115559000.0,,
2000-02-14,367539200.0,81028600.0,,
2000-02-15,485744000.0,71027600.0,,
2000-02-16,378246400.0,65202600.0,,
2000-02-17,289497600.0,80343400.0,,
2000-02-18,233441600.0,79063000.0,,
2000-02-21,233441600.0,79063000.0,,
2000-02-22,422296000.0,66296200.0,,
2000-02-23,473099200.0,75847200.0,,
2000-02-24,376432000.0,69733200.0,,
2000-02-25,249144000.0,65301400.0,,
2000-02-28,328328000.0,76131800.0,,
2000-02-29,368961600.0,58437400.0,,
2000-03-01,1077003200.0,106889800.0,,
2000-03-02,311259200.0,106932600.0,,
2000-03-03,323366400.0,101435200.0,,
2000-03-06,210560000.0,93609400.0,,
2000-03-07,273011200.0,135061000.0,,
2000-03-08,271230400.0,94290000.0,,
2000-03-09,276718400.0,88198800.0,,
2000-03-10,248606400.0,85589000.0,,
2000-03-13,303956800.0,61831800.0,,
2000-03-14,428579200.0,73489200.0,,
2000-03-15,443609600.0,53208000.0,,
2000-03-16,378100800.0,77300800.0,,
2000-03-17,305043200.0,81161600.0,,
2000-03-20,204489600.0,47773000.0,,
2000-03-21,524328000.0,81648800.0,,
2000-03-22,567996800.0,93975800.0,,
2000-03-23,562564800.0,148224000.0,,
2000-03-24,446913600.0,112196800.0,,
2000-03-27,279182400.0,111434000.0,,
2000-03-28,202966400.0,81114400.0,,
2000-03-29,239836800.0,64363800.0,,
2000-03-30,414400000.0,64178400.0,,
2000-03-31,404633600.0,64281400.0,,
2000-04-03,328563200.0,260118200.0,,
2000-04-04,660329600.0,181244400.0,,
2000-04-05,457665600.0,82887600.0,,
2000-04-06,259627200.0,66421400.0,,
2000-04-07,242435200.0,82613600.0,,
2000-04-10,212262400.0,60685400.0,,
2000-04-11,541822400.0,71961800.0,,
2000-04-12,941136000.0,153003800.0,,
